points,team,team_id,rank
0.793,Houston Rockets,HOU,1
0.72,Toronto Raptors,TOR,2
0.707,Golden State Warriors,GSW,3
0.671,Boston Celtics,BOS,4
0.634,Philadelphia 76ers,PHI,5
0.61,Cleveland Cavaliers,CLE,6
0.598,Portland Trail Blazers,POR,7
0.585,Oklahoma City Thunder,OKC,8
0.585,Utah Jazz,UTA,9
0.585,New Orleans Pelicans,NOP,10
0.585,Indiana Pacers,IND,11
0.573,San Antonio Spurs,SAS,12
0.573,Minnesota Timberwolves,MIN,13
0.561,Denver Nuggets,DEN,14
0.537,Miami Heat,MIA,15
0.537,Milwaukee Bucks,MIL,16
0.524,Washington Wizards,WAS,17
0.512,Los Angeles Clippers,LAC,18
0.476,Detroit Pistons,DET,19
0.439,Charlotte Hornets,CHO,20
0.427,Los Angeles Lakers,LAL,21
0.354,New York Knicks,NYK,22
0.341,Brooklyn Nets,BRK,23
0.329,Sacramento Kings,SAC,24
0.329,Chicago Bulls,CHI,25
0.305,Orlando Magic,ORL,26
0.293,Dallas Mavericks,DAL,27
0.293,Atlanta Hawks,ATL,28
0.268,Memphis Grizzlies,MEM,29
0.256,Phoenix Suns,PHO,30
